DATE,VALUE
2015-01-01,68.76565551757812
2015-02-01,69.19022369384766
2015-03-01,69.221923828125
2015-04-01,70.0611572265625
2015-05-01,69.83206176757812
2015-06-01,68.55314636230469
2015-07-01,68.6469497680664
2015-08-01,67.87460327148438
2015-09-01,67.11933135986328
2015-10-01,68.73741912841797
2015-11-01,68.97241973876953
2015-12-01,67.58563232421875
2016-01-01,68.22854614257812
2016-02-01,69.15059661865234
2016-03-01,71.43218231201172
2016-04-01,72.55775451660156
2016-05-01,72.41680145263672
2016-06-01,75.414794921875
2016-07-01,76.40156555175781
2016-08-01,77.43457794189453
2016-09-01,77.76329040527344
2016-10-01,76.4121322631836
2016-11-01,73.14096069335938
2016-12-01,74.04232788085938
2017-01-01,75.81428527832031
2017-02-01,76.78118133544922
2017-03-01,77.18000793457031
2017-04-01,78.50312042236328
2017-05-01,79.10015869140625
2017-06-01,78.5340576171875
2017-07-01,79.45718383789062
2017-08-01,81.03267669677734
2017-09-01,80.88758850097656
2017-10-01,81.0818099975586
2017-11-01,80.86567687988281
2017-12-01,81.60517120361328
2018-01-01,81.66329193115234
2018-02-01,79.6669921875
2018-03-01,80.08039093017578
2018-04-01,78.4150161743164
2018-05-01,77.7471694946289
2018-06-01,76.55421447753906
2018-07-01,78.52225494384766
2018-08-01,76.71148681640625
2018-09-01,78.26432037353516
2018-10-01,76.29110717773438
2018-11-01,75.90084075927734
2018-12-01,76.39840698242188
2019-01-01,81.40670776367188
2019-02-01,81.39923858642578
2019-03-01,82.62437438964844
2019-04-01,82.7660140991211
2019-05-01,83.17691802978516
2019-06-01,86.10250091552734
2019-07-01,86.76130676269531
2019-08-01,88.12472534179688
2019-09-01,87.16570281982422
2019-10-01,87.67277526855469
2019-11-01,86.83699035644531
2019-12-01,89.04421997070312
2020-01-01,90.82705688476562
2020-02-01,89.37045288085938
2020-03-01,75.98199462890625
2020-04-01,79.27381896972656
2020-05-01,84.28424835205078
2020-06-01,86.84562683105469
2020-07-01,90.20853424072266
2020-08-01,90.87397003173828
2020-09-01,88.97985076904297
2020-10-01,88.54131317138672
2020-11-01,92.24999237060548
2020-12-01,93.92839050292967
2021-01-01,92.89795684814452
2021-02-01,89.78096771240234
2021-03-01,89.1259765625
2021-04-01,91.26710510253906
2021-05-01,92.15290069580078
2021-06-01,92.93819427490234
2021-07-01,93.4604721069336
2021-08-01,94.3053207397461
2021-09-01,91.82088470458984
2021-10-01,91.96126556396484
2021-11-01,90.21891021728516
2021-12-01,91.85293579101562
2022-01-01,89.35118103027344
2022-02-01,84.1112060546875
2022-03-01,83.18467712402344
2022-04-01,77.60897827148438
2022-05-01,78.23139953613281
2022-06-01,73.44156646728516
2022-07-01,76.04489135742188
2022-08-01,74.00808715820312
2022-09-01,69.16098022460938
2022-10-01,68.97775268554688
2022-11-01,75.91552734375
2022-12-01,74.66081237792969
2023-01-01,78.20186614990234
2023-02-01,75.82669830322266
2023-03-01,77.02523803710938
2023-04-01,77.25267028808594
2023-05-01,76.344482421875
2023-06-01,78.24725341796875
2023-07-01,79.6094741821289
2023-08-01,78.14228820800781
2023-09-01,75.52494812011719
2023-10-01,74.62020874023438
2023-11-01,79.26054382324219
2023-12-01,82.57318115234375
2024-01-01,82.22735595703125
2024-02-01,82.52641296386719
2024-03-01,84.15790557861328
2024-04-01,82.15192413330078
2024-05-01,84.28700256347656
2024-06-01,84.09583282470703
2024-07-01,86.3200912475586
2024-08-01,88.27487182617188
2024-09-01,90.08282470703124
2024-10-01,87.87332153320312
2024-11-01,89.43006134033203
2024-12-01,86.81478881835938
2025-01-01,89.33485412597656
2025-02-01,90.79499053955078
2025-03-01,89.81171417236328
